country,year,prevalence_rate,incidence_rate,case_numbers
Peru,2011,3110.92,130.96,2558455
Peru,2012,3009.02,116.09,1736624
Peru,2013,3006.47,134.24,4979824
Peru,2014,3016.36,123.45,3750052
Peru,2015,3080.99,130.7,5325961
Peru,2016,3145.24,139.38,4357252
Peru,2017,3028.28,128.34,3975683
Peru,2018,3287.05,140.16,4891698
Peru,2019,3184.86,138.3,3930553
Peru,2020,3119.07,129.33,1718356
Peru,2021,3255.32,135.34,6369313
Peru,2022,3380.4,140.55,5972579
Peru,2023,3061.83,133.86,2084648
Peru,2024,3005.83,134.04,4770696
Peru,2025,3080.29,118.09,5193628
Peru,2026,3199.92,134.0,4556036
Uruguay,1990,2268.63,81.21,3852529
Uruguay,1991,2309.1,78.31,2546695
Uruguay,1992,2298.55,83.53,4542219
Uruguay,1993,2186.92,74.09,3513004
Uruguay,1994,2247.49,78.43,2092097
Uruguay,1995,2176.09,76.93,3306506
Uruguay,1996,2267.77,79.0,4124339
Uruguay,1997,2449.58,82.71,1838532
Uruguay,1998,2410.61,95.05,3059140
Uruguay,1999,2272.84,81.27,1772038
Uruguay,2000,2336.12,86.53,4563969
Uruguay,2001,2366.51,82.72,3874816
Uruguay,2002,2393.66,86.27,2002684
Uruguay,2003,2444.92,90.37,3349862
Uruguay,2004,2297.64,88.04,1595188
Uruguay,2005,2468.45,96.81,3273866
Uruguay,2006,2239.45,79.39,1992283
Uruguay,2007,2398.9,91.33,1991742
Uruguay,2008,2271.91,87.27,3154794
Uruguay,2009,2550.84,87.9,3440061
Uruguay,2010,2398.37,90.17,3567996
Uruguay,2011,2536.86,98.73,4453512
Uruguay,2012,2546.83,101.81,4148975
Uruguay,2013,2365.92,84.38,3821585
Uruguay,2014,2412.45,90.91,3042591
Uruguay,2015,2400.44,79.86,4733144
Uruguay,2016,2564.9,88.94,3359957
Uruguay,2017,2591.85,96.25,3400243
Uruguay,2018,2703.05,94.25,5130495
Uruguay,2019,2416.46,91.75,1454121
Uruguay,2020,2455.1,93.86,3371480
Uruguay,2021,2471.18,94.73,4466170
Uruguay,2022,2722.83,101.92,1461834
Uruguay,2023,2398.71,79.41,3971328
Uruguay,2024,2550.23,99.06,5089460
Uruguay,2025,2495.63,96.3,4223139
Uruguay,2026,2718.78,109.02,2473786
