country,year,prevalence,incidence,n_cases
Colombia,2005,5.448,0.0984,4754
Colombia,2006,5.372,0.0832,47861
Colombia,2007,5.445,0.0982,11441
Colombia,2008,5.487,0.1008,7919
Colombia,2009,5.642,0.1136,25415
Colombia,2010,5.536,0.0840,37577
Colombia,2011,5.645,0.1050,21404
Colombia,2012,5.770,0.0857,13906
Colombia,2013,5.651,0.0982,5835
Colombia,2014,5.861,0.0981,41086
Colombia,2015,5.915,0.1099,24190
Colombia,2016,5.971,0.1070,6489
Colombia,2017,6.115,0.1008,11735
Colombia,2018,6.025,0.0873,44412
Colombia,2019,6.091,0.0845,5132
Colombia,2020,6.254,0.0926,4147
Colombia,2021,6.116,0.0661,12204
Colombia,2022,6.165,0.0943,28997
Colombia,2023,6.294,0.0977,12752
Colombia,2024,6.425,0.0910,36889
Colombia,2025,6.352,0.0919,36041
Colombia,2026,6.414,0.1077,21458
Chile,1990,5.012,0.0832,32399
Chile,1991,5.031,0.1038,36389
Chile,1992,4.897,0.0929,34815
Chile,1993,5.044,0.1056,46393
Chile,1994,5.124,0.1067,15984
Chile,1995,5.112,0.1046,34008
Chile,1996,5.102,0.1069,41729
Chile,1997,5.406,0.0979,14189
Chile,1998,5.433,0.0961,41081
Chile,1999,5.314,0.1093,32523
Chile,2000,5.256,0.0991,42247
Chile,2001,5.474,0.0804,48785
Chile,2002,5.589,0.0871,16467
Chile,2003,5.462,0.1041,1745
Chile,2004,5.744,0.0878,45772
Chile,2005,5.609,0.0996,24135
Chile,2006,5.827,0.1168,33592
Chile,2007,5.972,0.1038,19252
Chile,2008,5.902,0.0912,26598
Chile,2009,5.817,0.0928,8854
Chile,2010,5.751,0.0942,24077
Chile,2011,5.804,0.1146,20529
Chile,2012,6.171,0.1127,35185
Chile,2013,5.996,0.1025,47290
Chile,2014,6.109,0.1061,3462
Chile,2015,6.153,0.0968,41897
Chile,2016,6.346,0.1020,31885
Chile,2017,6.327,0.0954,23339
Chile,2018,6.327,0.1018,3007
Chile,2019,6.380,0.1075,41528
Chile,2020,6.470,0.1092,29368
Chile,2021,6.424,0.0810,30433
Chile,2022,6.469,0.1039,6307
Chile,2023,6.571,0.0988,25049
Chile,2024,6.634,0.0890,22746
Chile,2025,6.664,0.0947,28591
Chile,2026,6.729,0.0946,30205
Peru,1990,3.860,0.1213,31503
Peru,1991,3.663,0.0892,42295
Peru,1992,3.708,0.0873,44408
Peru,1993,3.506,0.0937,47563
Peru,1994,3.826,0.1093,41170
Peru,1995,4.023,0.1230,2111
Peru,1996,3.951,0.0960,15845
Peru,1997,4.000,0.1229,25319
Peru,1998,4.032,0.1080,18785
Peru,1999,4.155,0.1005,47585
Peru,2000,4.135,0.0897,18483
Peru,2001,4.292,0.0937,31388
Peru,2002,4.059,0.1006,7555
Peru,2003,4.287,0.0732,21025
Peru,2004,4.337,0.0898,14449
Peru,2005,4.545,0.1147,48277
Peru,2006,4.398,0.1137,24641
Peru,2007,4.516,0.1005,3645
Peru,2008,4.668,0.0982,12045
Peru,2009,4.644,0.1095,31553
Peru,2010,4.780,0.0935,32550
Peru,2011,4.619,0.1036,6038
Peru,2012,4.827,0.1069,40718
Peru,2013,4.686,0.0972,16261
Peru,2014,4.979,0.1041,36653
Peru,2015,4.851,0.0846,39943
Peru,2016,4.987,0.0898,30393
Peru,2017,5.223,0.1026,16682
Peru,2018,4.863,0.0946,43602
Peru,2019,5.246,0.0902,49718
Peru,2020,5.170,0.1109,30434
Peru,2021,4.960,0.1075,46824
Peru,2022,5.292,0.1046,36319
Peru,2023,5.310,0.1007,7600
Peru,2024,5.260,0.0878,42320
Peru,2025,5.408,0.0959,36763
Peru,2026,5.493,0.1007,24220
Venezuela,1990,3.719,0.1161,27519
Venezuela,1991,4.059,0.0979,29742
Venezuela,1992,3.963,0.0970,12397
Venezuela,1993,4.107,0.0900,17235
Venezuela,1994,3.895,0.0965,36333
Venezuela,1995,4.060,0.0882,45024
Venezuela,1996,4.070,0.0987,23073
Venezuela,1997,4.263,0.0942,46704
Venezuela,1998,4.107,0.1119,41094
Venezuela,1999,4.115,0.0804,20645
Venezuela,2000,4.325,0.1131,12209
Venezuela,2001,4.417,0.1220,14671
Venezuela,2002,4.527,0.1052,44161
Venezuela,2003,4.297,0.0920,37518
Venezuela,2004,4.332,0.1154,26245
Venezuela,2005,4.534,0.1042,1210
Venezuela,2006,4.633,0.0918,5289
Venezuela,2007,4.727,0.1087,14401
Venezuela,2008,4.823,0.0903,28226
Venezuela,2009,4.622,0.1017,30731
Venezuela,2010,4.931,0.1069,9667
Venezuela,2011,4.785,0.1011,3364
Venezuela,2012,4.967,0.0914,15360
Venezuela,2013,4.928,0.0827,47907
Venezuela,2014,5.071,0.0813,6276
Venezuela,2015,5.110,0.0804,40019
Venezuela,2016,5.175,0.0876,14244
Venezuela,2017,5.069,0.1097,14133
Venezuela,2018,5.308,0.1144,38174
Venezuela,2019,5.036,0.0927,14680
Venezuela,2020,5.336,0.1009,39459
Venezuela,2021,5.439,0.1071,41484
Venezuela,2022,5.567,0.1028,34899
Venezuela,2023,5.344,0.0927,21148
Venezuela,2024,5.509,0.1083,30813
Venezuela,2025,5.567,0.0945,45009
Venezuela,2026,5.685,0.1028,27467
Ecuador,1990,3.381,0.0936,10945
Ecuador,1991,3.413,0.1119,16707
Ecuador,1992,3.193,0.1058,9209
Ecuador,1993,3.384,0.1097,17230
Ecuador,1994,3.535,0.0936,5448
Ecuador,1995,3.458,0.0921,19484
Ecuador,1996,3.784,0.0959,17496
Ecuador,1997,3.866,0.0820,41419
Ecuador,1998,3.814,0.0966,35017
Ecuador,1999,3.867,0.1220,18959
Ecuador,2000,3.807,0.0830,48687
Ecuador,2001,4.071,0.1006,39975
Ecuador,2002,3.965,0.0894,16054
Ecuador,2003,3.956,0.1001,45740
Ecuador,2004,3.974,0.0986,44120
Ecuador,2005,4.156,0.0826,1063
Ecuador,2006,4.114,0.0961,45053
Ecuador,2007,4.324,0.1225,21350
Ecuador,2008,4.282,0.0938,29073
Ecuador,2009,4.308,0.1037,26307
Ecuador,2010,4.330,0.1109,16216
Ecuador,2011,4.551,0.0923,3595
Ecuador,2012,4.455,0.1050,3657
Ecuador,2013,4.198,0.0910,49374
Ecuador,2014,4.602,0.0827,9250
Ecuador,2015,4.408,0.1186,21009
Ecuador,2016,4.606,0.1119,9114
Ecuador,2017,4.923,0.1149,14080
Ecuador,2018,4.806,0.0990,41559
Ecuador,2019,4.809,0.0905,21684
Ecuador,2020,4.743,0.1006,17954
Ecuador,2021,5.054,0.1137,8958
Ecuador,2022,4.801,0.1065,38822
Ecuador,2023,5.032,0.0949,28336
Ecuador,2024,5.114,0.1045,16954
Ecuador,2025,5.002,0.0983,35722
Ecuador,2026,5.205,0.0929,26981
Guatemala,1990,4.381,0.0978,40335
Guatemala,1991,4.256,0.0911,15776
Guatemala,1992,4.302,0.1059,10065
Guatemala,1993,4.396,0.0891,6577
Guatemala,1994,4.256,0.0997,45120
Guatemala,1995,4.434,0.0992,29798
Guatemala,1996,4.736,0.0930,12676
Guatemala,1997,4.439,0.0981,42015
Guatemala,1998,4.603,0.0964,47661
Guatemala,1999,4.649,0.0865,34867
Guatemala,2000,4.829,0.0996,6083
Guatemala,2001,4.777,0.0730,48150
Guatemala,2002,4.889,0.1018,31574
Guatemala,2003,4.856,0.1175,21279
Guatemala,2004,4.958,0.0972,47433
Guatemala,2005,4.739,0.0825,5949
Guatemala,2006,4.984,0.0969,31184
Guatemala,2007,4.966,0.0845,28858
Guatemala,2008,5.088,0.1174,15284
Guatemala,2009,5.131,0.0987,43586
Guatemala,2010,5.217,0.1040,19438
Guatemala,2011,5.397,0.0816,45953
Guatemala,2012,5.020,0.1089,24429
Guatemala,2013,5.235,0.0993,14395
Guatemala,2014,5.485,0.1121,22476
Guatemala,2015,5.394,0.1003,9967
Guatemala,2016,5.456,0.0881,13471
Guatemala,2017,5.590,0.0996,40035
Guatemala,2018,5.562,0.0843,35087
Guatemala,2019,5.671,0.0881,22573
Guatemala,2020,5.602,0.1080,31684
Guatemala,2021,5.585,0.1058,45789
Guatemala,2022,5.787,0.1257,8955
Guatemala,2023,5.608,0.0870,46446
Guatemala,2024,5.994,0.1176,32792
Guatemala,2025,5.932,0.0861,2859
Guatemala,2026,5.902,0.1148,49104
Cuba,1990,3.312,0.0974,24770
Cuba,1991,3.089,0.0942,5222
Cuba,1992,3.558,0.0901,32617
Cuba,1993,3.376,0.0980,8869
Cuba,1994,3.480,0.0871,29341
Cuba,1995,3.504,0.1135,27392
Cuba,1996,3.725,0.0927,27295
Cuba,1997,3.715,0.0962,47442
Cuba,1998,3.729,0.1048,19067
Cuba,1999,3.739,0.1011,23831
Cuba,2000,3.722,0.0999,19783
Cuba,2001,3.799,0.0991,33040
Cuba,2002,3.690,0.0850,48168
Cuba,2003,4.079,0.1002,12306
Cuba,2004,3.920,0.0889,20641
Cuba,2005,3.919,0.0858,34588
Cuba,2006,4.216,0.1103,33990
Cuba,2007,4.137,0.1076,28528
Cuba,2008,4.124,0.0989,15866
Cuba,2009,4.259,0.0963,34513
Cuba,2010,4.305,0.1089,1105
Cuba,2011,4.453,0.1023,5986
Cuba,2012,4.402,0.0860,46729
Cuba,2013,4.424,0.1136,47712
Cuba,2014,4.439,0.1052,38610
Cuba,2015,4.351,0.1010,28341
Cuba,2016,4.675,0.0965,3024
Cuba,2017,4.602,0.1109,1207
Cuba,2018,4.659,0.0990,7474
Cuba,2019,4.866,0.1023,15209
Cuba,2020,4.879,0.1055,47596
Cuba,2021,4.789,0.0926,30301
Cuba,2022,4.922,0.0990,5279
Cuba,2023,5.001,0.0949,1470
Cuba,2024,4.839,0.0950,41723
Cuba,2025,5.239,0.1142,20056
Cuba,2026,5.223,0.0911,9694
Haiti,1990,3.429,0.0937,35131
Haiti,1991,3.414,0.1143,16207
Haiti,1992,3.406,0.1137,15699
Haiti,1993,3.465,0.0882,48023
Haiti,1994,3.656,0.1013,21255
Haiti,1995,3.686,0.0791,38065
Haiti,1996,3.813,0.1028,40393
Haiti,1997,3.862,0.0986,39067
Haiti,1998,3.726,0.0993,22525
Haiti,1999,3.893,0.1006,11410
Haiti,2000,4.026,0.1063,17207
Haiti,2001,3.905,0.1116,47731
Haiti,2002,3.992,0.1012,25626
Haiti,2003,4.220,0.0900,41572
Haiti,2004,4.165,0.1001,18615
Haiti,2005,4.098,0.0989,35656
Haiti,2006,4.069,0.0986,15439
Haiti,2007,4.226,0.1055,33896
Haiti,2008,4.336,0.0900,6973
Haiti,2009,4.328,0.0901,46633
Haiti,2010,4.433,0.1066,31186
Haiti,2011,4.515,0.1045,25128
Haiti,2012,4.501,0.0921,8891
Haiti,2013,4.454,0.1012,36697
Haiti,2014,4.672,0.1042,45004
Haiti,2015,4.722,0.0988,27030
Haiti,2016,4.872,0.0927,27963
Haiti,2017,5.090,0.1066,12888
Haiti,2018,4.904,0.0898,18374
Haiti,2019,4.954,0.1038,6226
Haiti,2020,4.969,0.1176,13151
Haiti,2021,5.011,0.1125,27148
Haiti,2022,4.999,0.0866,37518
Haiti,2023,5.235,0.1083,14562
Haiti,2024,5.146,0.1096,17563
Haiti,2025,5.029,0.0797,38339
Haiti,2026,5.250,0.0922,8027
Dominican Republic,1990,4.277,0.0912,25850
Dominican Republic,1991,4.172,0.0964,19237
Dominican Republic,1992,4.468,0.0996,43803
Dominican Republic,1993,4.363,0.1088,27079
Dominican Republic,1994,4.321,0.1070,29438
Dominican Republic,1995,4.466,0.0790,3419
Dominican Republic,1996,4.446,0.1027,46976
Dominican Republic,1997,4.644,0.0895,20616
Dominican Republic,1998,4.611,0.0835,2801
Dominican Republic,1999,4.655,0.1120,39525
Dominican Republic,2000,4.875,0.1109,19251
Dominican Republic,2001,4.724,0.0998,9754
Dominican Republic,2002,5.035,0.1056,22034
Dominican Republic,2003,4.957,0.1101,29484
Dominican Republic,2004,5.066,0.1099,37425
Dominican Republic,2005,5.057,0.0967,20229
Dominican Republic,2006,5.213,0.0924,7607
Dominican Republic,2007,5.109,0.0865,18231
Dominican Republic,2008,5.177,0.1050,17560
Dominican Republic,2009,5.066,0.0999,40409
Dominican Republic,2010,5.297,0.0959,19406
Dominican Republic,2011,5.229,0.0999,49448
Dominican Republic,2012,5.523,0.0923,28869
Dominican Republic,2013,5.299,0.0852,5476
Dominican Republic,2014,5.437,0.1098,4637
Dominican Republic,2015,5.452,0.0969,22427
Dominican Republic,2016,5.518,0.0886,34147
Dominican Republic,2017,5.649,0.0947,32211
Dominican Republic,2018,5.584,0.0879,38399
Dominican Republic,2019,5.586,0.1001,15864
Dominican Republic,2020,5.852,0.1043,25999
Dominican Republic,2021,5.746,0.1007,41607
Dominican Republic,2022,5.751,0.1201,20865
Dominican Republic,2023,5.697,0.1082,12648
Dominican Republic,2024,5.818,0.1158,45056
Dominican Republic,2025,6.046,0.0998,22660
Dominican Republic,2026,6.078,0.0882,11607
Honduras,1990,2.192,0.1144,10536
Honduras,1991,2.196,0.1011,43603
Honduras,1992,2.280,0.0993,49745
Honduras,1993,2.418,0.1004,20257
Honduras,1994,2.429,0.1059,38700
Honduras,1995,2.425,0.0918,32613
Honduras,1996,2.434,0.0913,9067
Honduras,1997,2.639,0.0975,48190
Honduras,1998,2.353,0.1055,43743
Honduras,1999,2.552,0.1019,6294
Honduras,2000,2.785,0.0798,39208
Honduras,2001,2.763,0.0917,39720
Honduras,2002,2.676,0.1052,29573
Honduras,2003,2.962,0.0893,28001
Honduras,2004,2.897,0.0834,31916
Honduras,2005,3.073,0.1053,29150
Honduras,2006,3.090,0.0966,42132
Honduras,2007,3.059,0.1043,8115
Honduras,2008,3.177,0.0998,16004
Honduras,2009,3.330,0.0979,36303
Honduras,2010,3.193,0.1062,29235
Honduras,2011,3.437,0.1078,2528
Honduras,2012,3.365,0.0873,26860
Honduras,2013,3.546,0.1054,1826
Honduras,2014,3.536,0.1019,42962
Honduras,2015,3.350,0.0852,20883
Honduras,2016,3.675,0.0886,12257
Honduras,2017,3.562,0.0881,19077
Honduras,2018,3.542,0.0952,12339
Honduras,2019,3.776,0.1186,15110
Honduras,2020,3.608,0.0946,4291
Honduras,2021,3.873,0.1042,22460
Honduras,2022,3.728,0.0914,14309
Honduras,2023,3.884,0.1063,47170
Honduras,2024,3.966,0.1061,43440
Honduras,2025,4.127,0.1022,30174
Honduras,2026,4.092,0.1006,13607
Paraguay,1990,4.484,0.0963,17919
Paraguay,1991,4.518,0.1191,18785
Paraguay,1992,4.712,0.1097,10114
Paraguay,1993,4.717,0.0950,39627
Paraguay,1994,4.807,0.1116,36328
Paraguay,1995,4.754,0.1003,26459
Paraguay,1996,4.710,0.1014,17005
Paraguay,1997,4.979,0.0970,35107
Paraguay,1998,4.932,0.0969,47472
Paraguay,1999,5.013,0.1057,22151
Paraguay,2000,4.922,0.0872,22649
Paraguay,2001,4.813,0.1076,9239
Paraguay,2002,5.116,0.0991,27101
Paraguay,2003,5.108,0.0980,41634
Paraguay,2004,5.177,0.1041,31339
Paraguay,2005,5.386,0.0967,20927
Paraguay,2006,5.314,0.0923,43206
Paraguay,2007,5.328,0.1117,33387
Paraguay,2008,5.451,0.1006,6097
Paraguay,2009,5.531,0.1044,13762
Paraguay,2010,5.638,0.0929,35222
Paraguay,2011,5.595,0.1056,29428
Paraguay,2012,5.768,0.1188,25249
Paraguay,2013,5.713,0.0921,36644
Paraguay,2014,5.799,0.0918,42205
Paraguay,2015,5.734,0.1006,24648
Paraguay,2016,5.892,0.1097,35864
Paraguay,2017,5.955,0.0955,40609
Paraguay,2018,5.917,0.0941,43044
Paraguay,2019,6.052,0.0975,6652
Paraguay,2020,6.089,0.1138,29615
Paraguay,2021,6.055,0.1033,10400
Paraguay,2022,6.185,0.0896,10569
Paraguay,2023,6.295,0.0811,29672
Paraguay,2024,6.261,0.0914,36020
Paraguay,2025,6.221,0.0989,38083
Paraguay,2026,6.504,0.0798,36807
Nicaragua,1990,2.444,0.1109,47700
Nicaragua,1991,2.523,0.1039,14443
Nicaragua,1992,2.631,0.0941,19006
Nicaragua,1993,2.702,0.1084,40955
Nicaragua,1994,2.937,0.0861,44150
Nicaragua,1995,2.951,0.0961,5098
Nicaragua,1996,2.792,0.0882,24703
Nicaragua,1997,2.881,0.1020,21452
Nicaragua,1998,2.920,0.1008,47480
Nicaragua,1999,3.054,0.1059,19000
Nicaragua,2000,2.974,0.1053,25299
Nicaragua,2001,3.132,0.1103,32663
Nicaragua,2002,3.144,0.1050,22784
Nicaragua,2003,3.147,0.0945,22089
Nicaragua,2004,3.340,0.1091,41403
Nicaragua,2005,3.148,0.1135,27195
Nicaragua,2006,3.194,0.1077,9360
Nicaragua,2007,3.435,0.0943,12372
Nicaragua,2008,3.260,0.0865,23315
Nicaragua,2009,3.415,0.1102,15331
Nicaragua,2010,3.762,0.1119,48881
Nicaragua,2011,3.662,0.1114,20979
Nicaragua,2012,3.741,0.0945,44773
Nicaragua,2013,3.723,0.1056,34011
Nicaragua,2014,3.681,0.1143,18821
Nicaragua,2015,3.825,0.1109,26915
Nicaragua,2016,3.706,0.1107,36327
Nicaragua,2017,3.710,0.1081,8277
Nicaragua,2018,4.078,0.1132,32340
Nicaragua,2019,4.019,0.0956,8283
Nicaragua,2020,4.040,0.0852,46293
Nicaragua,2021,4.173,0.0934,8035
Nicaragua,2022,4.294,0.1099,35886
Nicaragua,2023,4.138,0.1204,35542
Nicaragua,2024,4.263,0.1135,29815
Nicaragua,2025,4.243,0.0958,19096
Nicaragua,2026,4.416,0.1029,16037
El Salvador,1990,4.325,0.1018,14955
El Salvador,1991,4.335,0.0891,48343
El Salvador,1992,4.400,0.1071,23844
El Salvador,1993,4.427,0.0882,8221
El Salvador,1994,4.430,0.0953,45582
El Salvador,1995,4.368,0.1032,15471
El Salvador,1996,4.628,0.1066,28130
El Salvador,1997,4.686,0.0974,24116
El Salvador,1998,4.656,0.1021,20948
El Salvador,1999,4.756,0.0908,38629
El Salvador,2000,4.702,0.1035,21863
El Salvador,2001,4.678,0.0858,38579
El Salvador,2002,4.849,0.0935,22576
El Salvador,2003,4.749,0.0853,2744
El Salvador,2004,5.048,0.1013,9984
El Salvador,2005,5.108,0.1164,17982
El Salvador,2006,5.179,0.0960,47893
El Salvador,2007,5.054,0.1098,10098
El Salvador,2008,5.405,0.1198,49470
El Salvador,2009,5.221,0.1147,43978
El Salvador,2010,5.313,0.1087,23101
El Salvador,2011,5.302,0.1186,5559
El Salvador,2012,5.310,0.0973,3623
El Salvador,2013,5.426,0.0932,31503
El Salvador,2014,5.505,0.1000,33010
El Salvador,2015,5.634,0.0944,23008
El Salvador,2016,5.426,0.1082,16151
El Salvador,2017,5.431,0.1063,47712
El Salvador,2018,5.665,0.1161,31820
El Salvador,2019,5.874,0.1021,34297
El Salvador,2020,5.884,0.1081,27190
El Salvador,2021,5.785,0.0983,33768
El Salvador,2022,5.770,0.0974,49135
El Salvador,2023,5.860,0.1017,11636
El Salvador,2024,5.937,0.1212,41559
El Salvador,2025,6.086,0.0962,1158
El Salvador,2026,6.168,0.0806,49969
Costa Rica,1990,3.660,0.0924,12364
Costa Rica,1991,3.789,0.0892,32341
Costa Rica,1992,3.755,0.0923,26602
Costa Rica,1993,3.833,0.1054,9733
Costa Rica,1994,3.987,0.0947,19948
Costa Rica,1995,3.905,0.1029,36520
Costa Rica,1996,3.895,0.0925,31668
Costa Rica,1997,4.068,0.0992,4719
Costa Rica,1998,4.202,0.0950,34646
Costa Rica,1999,4.212,0.0876,8332
Costa Rica,2000,4.210,0.1069,49215
Costa Rica,2001,4.168,0.1075,43626
Costa Rica,2002,4.414,0.1137,1535
Costa Rica,2003,4.339,0.0956,24375
Costa Rica,2004,4.406,0.1034,29381
Costa Rica,2005,4.389,0.0907,24436
Costa Rica,2006,4.500,0.1019,47875
Costa Rica,2007,4.533,0.1026,23471
Costa Rica,2008,4.660,0.1139,17423
Costa Rica,2009,4.711,0.0836,42707
Costa Rica,2010,4.562,0.0948,44961
Costa Rica,2011,4.910,0.0828,13293
Costa Rica,2012,4.914,0.0896,22247
Costa Rica,2013,4.947,0.1009,12034
Costa Rica,2014,5.133,0.0938,1774
Costa Rica,2015,4.923,0.1017,45033
Costa Rica,2016,4.903,0.1228,25675
Costa Rica,2017,4.975,0.1123,39255
Costa Rica,2018,5.051,0.0917,3034
Costa Rica,2019,4.822,0.0890,7861
Costa Rica,2020,5.127,0.1229,33114
Costa Rica,2021,5.143,0.0881,22746
Costa Rica,2022,5.339,0.1086,20276
Costa Rica,2023,5.130,0.0929,37544
Costa Rica,2024,5.375,0.0946,33521
Costa Rica,2025,5.454,0.0886,30103
Costa Rica,2026,5.417,0.0971,18290
Panama,1990,3.130,0.0992,21906
Panama,1991,3.245,0.0968,18727
Panama,1992,3.195,0.0987,28675
Panama,1993,3.272,0.0972,6574
Panama,1994,3.213,0.0819,6249
Panama,1995,3.254,0.0842,40641
Panama,1996,3.482,0.1129,28086
Panama,1997,3.340,0.1106,25302
Panama,1998,3.522,0.0942,11044
Panama,1999,3.374,0.0861,40978
Panama,2000,3.566,0.0882,45592
Panama,2001,3.639,0.0863,28292
Panama,2002,3.707,0.1056,18960
Panama,2003,3.777,0.0948,24647
Panama,2004,3.839,0.1052,22713
Panama,2005,3.853,0.1193,39675
Panama,2006,3.934,0.1110,22137
Panama,2007,3.947,0.1156,44967
Panama,2008,3.982,0.1101,1943
Panama,2009,3.858,0.1039,39396
Panama,2010,4.078,0.1040,27286
Panama,2011,4.157,0.0876,13354
Panama,2012,4.093,0.1017,10613
Panama,2013,4.366,0.1028,13600
Panama,2014,4.509,0.0953,10634
Panama,2015,4.277,0.1114,44113
Panama,2016,4.484,0.1003,37782
Panama,2017,4.438,0.0979,12507
Panama,2018,4.373,0.0960,30604
Panama,2019,4.626,0.0916,37317
Panama,2020,4.548,0.0947,12716
Panama,2021,4.744,0.1075,33920
Panama,2022,4.806,0.0991,46048
Panama,2023,4.846,0.0963,21351
Panama,2024,4.726,0.1011,45209
Panama,2025,4.832,0.1019,39008
Panama,2026,4.912,0.0924,20398
Uruguay,1990,4.770,0.0906,10184
Uruguay,1991,4.736,0.0888,20282
Uruguay,1992,4.652,0.0948,3266
Uruguay,1993,4.803,0.0813,47061
Uruguay,1994,4.574,0.1024,25975
Uruguay,1995,4.932,0.0842,22834
Uruguay,1996,4.981,0.1199,11319
Uruguay,1997,5.054,0.0979,10758
Uruguay,1998,4.972,0.1102,11212
Uruguay,1999,5.112,0.0995,43600
Uruguay,2000,5.065,0.0980,49567
Uruguay,2001,5.264,0.0944,41673
Uruguay,2002,5.146,0.0973,31909
Uruguay,2003,5.236,0.1045,34784
